altitude|kgm
0.000000000000|1.225000000000
1000.000000000000|1.111600000000
2000.000000000000|1.006500000000
3000.000000000000|0.909100000000
4000.000000000000|0.819100000000
5000.000000000000|0.736100000000
6000.000000000000|0.659700000000
7000.000000000000|0.589500000000
8000.000000000000|0.525200000000
9000.000000000000|0.466400000000
1000.000000000000|0.412700000000
11000.000000000000|0.363900000000
13000.000000000000|0.265500000000
15000.000000000000|0.193700000000
17000.000000000000|0.142300000000
20000.000000000000|0.088000000000
25000.000000000000|0.039500000000
30000.000000000000|0.018000000000
32000.000000000000|0.013200000000
35000.000000000000|0.008200000000
40000.000000000000|0.003900000000
45000.000000000000|0.001900000000
47000.000000000000|0.001400000000
50000.000000000000|0.001000000000
51000.000000000000|0.000860000000
60000.000000000000|0.000288000000
70000.000000000000|0.000074000000
71000.000000000000|0.000064000000
80000.000000000000|0.000015000000
85000.000000000000|0.000007000000
90000.000000000000|0.000003000000
100000.000000000000|0.000000500000
105000.000000000000|0.000000200000
110000.000000000000|0.000000100000
