t|posX|posY|posZ|vel|velX|velY|velZ
64.000000|99.537830|530.720805|-0.000000|8.162812|-0.008361|8.162808|-0.000000
65.000000|99.529465|538.883590|-0.000000|8.162789|-0.008365|8.162785|-0.000000
66.000000|99.521096|547.046354|-0.000000|8.162768|-0.008369|8.162763|-0.000000
67.000000|99.512723|555.209096|-0.000000|8.162746|-0.008373|8.162742|-0.000000
68.000000|99.504346|563.371817|-0.000000|8.162726|-0.008377|8.162721|-0.000000
69.000000|99.495965|571.534519|-0.000000|8.162706|-0.008380|8.162701|-0.000000
70.000000|99.487582|579.697200|-0.000000|8.162686|-0.008384|8.162682|-0.000000
71.000000|99.479194|587.859863|-0.000000|8.162667|-0.008387|8.162663|-0.000000
72.000000|99.470804|596.022507|-0.000000|8.162649|-0.008390|8.162644|-0.000000
73.000000|99.462411|604.185134|-0.000000|8.162631|-0.008393|8.162626|-0.000000
74.000000|99.454015|612.347742|-0.000000|8.162613|-0.008396|8.162609|-0.000000
75.000000|99.445616|620.510334|-0.000000|8.162596|-0.008399|8.162592|-0.000000
76.000000|99.437215|628.672909|-0.000000|8.162579|-0.008402|8.162575|-0.000000
77.000000|99.428810|636.835467|-0.000000|8.162563|-0.008404|8.162559|-0.000000
78.000000|99.420404|644.998010|-0.000000|8.162547|-0.008407|8.162543|-0.000000
79.000000|99.411995|653.160537|-0.000000|8.162532|-0.008409|8.162527|-0.000000
80.000000|99.403584|661.323049|-0.000000|8.162516|-0.008411|8.162512|-0.000000
81.000000|99.395170|669.485547|-0.000000|8.162502|-0.008414|8.162497|-0.000000
82.000000|99.386754|677.648030|-0.000000|8.162487|-0.008416|8.162483|-0.000000
83.000000|99.378337|685.810499|-0.000000|8.162473|-0.008418|8.162469|-0.000000
84.000000|99.369917|693.972954|-0.000000|8.162459|-0.008420|8.162455|-0.000000
85.000000|99.361495|702.135395|-0.000000|8.162446|-0.008422|8.162442|-0.000000
